,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
"""The Astronomer"" Chardonnay 2016 De Bortoli",61,54,6.99,white wine,australian,new world,,,0.885245902
"'Angels' Share' Shiraz 2015 Two Hands, McLaren Vale",34,34,21.99,red wine,australian,new world,,,1
A Lisa 2015 Bodega NoemÌa de Patagonia,16,15,28,fine wine,argentinian,new world,merlot,,0.9375
A Sticky End Noble Sauvignon Blanc Half Bottle,13,12,17.99,white wine,new-zealand,new world,,marlborough wine,0.923076923
A.Gauvin Gevrey Chambertin 2015,3,3,40,fine wine,french,old world,,burgundy,1
AIX RosÈ 2017 Coteaux d'Aix en Provence Magnum,36,34,26.99,rose wine,french,old world,,,0.944444444
Abbott's & Delaunay Fruits Sauvage Sauvignon Blanc 2017,0,0,9.99,white wine,,,,,
Abbotts & Delaunay Viognier 2015,43,41,9.99,white wine,french,old world,,south of france,0.953488372
Acacia Road Chenin Blanc,22,19,7.99,white wine,,,,,0.863636364
Acacia Road Merlot,18,17,7.99,red wine,,,merlot,,0.944444444
Acacia Road Pinotage,7,5,7.99,red wine,,,,,0.714285714
Acacia Road Sauvignon Blanc,14,14,7.99,white wine,,,,,1
"Agenda, D„o Manager's Choice 2015",87,78,9.99,red wine,portuguese,old world,,,0.896551724
Alain Grignon Carignan Vieilles Vignes 2016 PGI Pays de l'HÈrault,97,94,7.99,red wine,french,old world,,south of france,0.969072165
Alamos Lujan De Cuyo Cabernet 2016,15,14,9.99,red wine,argentinian,new world,,,0.933333333
Alamos Uco Valley Chardonnay 2016,13,13,9.99,white wine,argentinian,new world,chardonnay,,1
Alamos Uco Valley Malbec 2016/17,73,68,9.99,red wine,argentinian,new world,,,0.931506849
Alamos Uco Valley Viognier 2016,10,6,9.99,white wine,argentinian,new world,,,0.6
Amarone Classico ?Vigneti di Roccolo? 2014 Cantina Negrar,49,48,22.99,red wine,italian,old world,,,0.979591837
Ammazza Montepulciano 2016,5,5,9.99,red wine,,,,,1
Ammazza Pinot Grigio IGT,54,44,9.99,white wine,,,,,0.814814815
